customer_id,shop_name,phone,area
1,Sana Traders,0339963161,Korangi
2,Hussain Karyana Store,0337294740,Korangi
3,Sana Karyana Store,0316683144,DHA
4,Zain Karyana Store,0343497266,Saddar
5,Hafsa Mart,0303338196,Gulshan
6,Khadija Supermarket,0322351568,Johar
7,Umar Traders,0344150697,Tariq Road
8,Bilal Traders,0338124634,Tariq Road
9,Usman Traders,0318103723,Tariq Road
10,Hassan Mart,0349413791,Lyari
11,Hassan Traders,0303452844,DHA
12,Rabia Supermarket,0347608838,DHA
13,Hassan Mart,0321921230,Malir
14,Ali Mini Mart,0333021348,Clifton
15,Fatima Supermarket,0324446395,Lyari
16,Hassan General Store,0345623472,Clifton
17,Zainab Traders,0301720567,Nazimabad
18,Fatima Karyana Store,0316554105,Saddar
19,Sana Mart,0316775688,Nazimabad
20,Ahmad Mini Mart,0315386884,Malir
21,Zainab Mart,0323430692,Nazimabad
22,Ayesha Mini Mart,0337990337,Korangi
23,Hassan Mini Mart,0305875225,Malir
24,Ayesha Mart,0348437608,Nazimabad
25,Amna General Store,0304218469,Malir
26,Sana Supermarket,0318320553,Clifton
27,Zain General Store,0347243665,Tariq Road
28,Sadia Mart,0338166973,Saddar
29,Fatima Traders,0325558406,Gulshan
30,Ali General Store,0347123538,Lyari
31,Usman Mart,0331782418,Gulshan
32,Ali Traders,0349775483,Nazimabad
33,Khadija Mart,0342392629,Tariq Road
34,Ahmad Mart,0332175827,Clifton
35,Ayesha Mini Mart,0338016481,DHA
36,Fatima Karyana Store,0335068202,Gulshan
37,Usman Mini Mart,0347910578,Tariq Road
38,Umar General Store,0335398645,Tariq Road
39,Khadija Mini Mart,0346854155,Korangi
40,Muhammad Karyana Store,0312365934,Malir
41,Tariq General Store,0341378023,Clifton
42,Rabia Supermarket,0344532335,Malir
43,Umar Mart,0348066035,Nazimabad
44,Rabia Mini Mart,0322064632,Korangi
45,Hussain Mini Mart,0327399643,Tariq Road
46,Ahmad Supermarket,0334560862,Clifton
47,Hafsa General Store,0344513609,Tariq Road
48,Ayesha Mini Mart,0341534694,Nazimabad
49,Hassan Karyana Store,0333865156,DHA
50,Sana Traders,0302530403,Johar
51,Khadija Karyana Store,0315472707,Lyari
52,Amna Traders,0309013723,Saddar
53,Ayesha Supermarket,0305774022,Clifton
54,Zainab Traders,0333256327,DHA
55,Ahmad Mini Mart,0332704495,Tariq Road
56,Muhammad General Store,0336806846,Clifton
57,Ali Traders,0329956447,Malir
58,Umar General Store,0308409560,DHA
59,Ahmad Traders,0336373086,Johar
60,Rabia Karyana Store,0334645256,Saddar
